y1,y2,decay,logratio,var_log_ratio,ratio,ratio_lci,ratio_uci
1980,1981,0.1,-0.265035989367758,0.0439297228261021,0.767178339215626,0.50873244681505,1.15691972832945
1980,1982,0.1,0.106868877840789,0.0350656272170912,1.11278833370375,0.770935615058944,1.60622735730336
1980,1983,0.1,0.29696981074502,0.0312684776849197,1.34577467090014,0.951601843414187,1.90322189618552
1980,1984,0.1,0.114640934009525,0.0317958054978649,1.1214706832869,0.790691294198486,1.5906289884561
1980,1985,0.1,0.257042643631402,0.0289764008235137,1.29310026807483,0.926268283559107,1.80520949812754
1980,1986,0.1,-0.151827453065707,0.0336983300443371,0.859136509323385,0.599523504897333,1.23117031379574
1980,1987,0.1,-0.00883198813129824,0.0301237966106449,0.991206899307202,0.705387896525636,1.39283807118526
1980,1988,0.1,0.0121750778240456,0.0283121718438924,1.01224949579224,0.727884573077942,1.40770814443669
1980,1989,0.1,0.107835784533137,0.0260658969947797,1.11386481653614,0.811720545879309,1.52847533035286
1980,1990,0.1,-0.139129356009637,0.0285318579715329,0.870115466513455,0.624880879571372,1.21159240075525
1980,1991,0.1,0.0856941665251565,0.0251771898850336,1.08947308001068,0.798276999437791,1.48689188452616
1980,1992,0.1,0.0106018164875738,0.0262220963157474,1.01065821487624,0.735812594278528,1.38816600210322
1980,1993,0.1,0.068818542610595,0.0248235875082218,1.07124180676933,0.786640728862886,1.45880955112666
1980,1994,0.1,0.19007119168376,0.0239756674096922,1.20933568923666,0.892783505907669,1.63812704825302
1980,1995,0.1,0.231317714424793,0.0231316171810371,1.26025957849619,0.935405818929496,1.69793064470033
1980,1996,0.1,0.381240163891192,0.0221859492362987,1.46409918694727,1.09341359025912,1.9604534352931
1980,1997,0.1,0.300511884283188,0.0220630352335617,1.35054995596303,1.00943025457816,1.80694523002382
1980,1998,0.1,0.261827725196991,0.0222397185210004,1.29930268603324,0.969997823194699,1.74040335922933
1980,1999,0.1,0.131626382267356,0.0221164353760627,1.14068206059815,0.852270312612074,1.52669351978552
1980,2000,0.1,0.0514823207629419,0.0220320363932073,1.05283057288632,0.78706935660242,1.40832851121157
1980,2001,0.1,-0.0709388448412421,0.022146864975678,0.93151885756933,0.695852746674104,1.24699857283693
1980,2002,0.1,-0.191500387618667,0.0220268632432913,0.825719305042204,0.617307834156931,1.10449330624573
1980,2003,0.1,-0.374054517803428,0.0222195559271043,0.687939405861318,0.513651032364764,0.921366056557912
1980,2004,0.1,-0.506277512993576,0.0229352957566419,0.602735081475544,0.447937140680101,0.81102803373203
1980,2005,0.1,-0.630762673795881,0.0226175933053545,0.532185762053685,0.396323480026137,0.714622523283211
1980,2006,0.1,-0.791316090245057,0.0227582398033544,0.453247887452959,0.337229014807349,0.609181412216057
1980,2007,0.1,-0.910655334587289,0.0225777033763443,0.402260522403242,0.299644907376656,0.540017613850946
1980,2008,0.1,-0.89684047378799,0.0224155789085604,0.407856258688807,0.304135177935532,0.546949974287065
1981,1982,0.1,0.386950931796233,0.0319677106419192,1.47248423734386,1.03719385483294,2.09045765082688
1981,1983,0.1,0.522048054878633,0.0287254150822956,1.68547606469906,1.20908287087416,2.34957390688987
1981,1984,0.1,0.26098258954135,0.0295871975377638,1.29820506289136,0.926677719515815,1.81868663702992
1981,1985,0.1,0.551578541313936,0.0270146295568086,1.7359911899539,1.25789080856655,2.39580843668923
1981,1986,0.1,0.206187125466475,0.0303020259835315,1.22898315652611,0.87372189073158,1.72869607027952
1981,1987,0.1,0.261360173937099,0.0282307595401788,1.29869533741977,0.934304195158103,1.8052039027294
1981,1988,0.1,0.284894538021611,0.0273445755489077,1.3296217961819,0.961549787174098,1.83858822960967
1981,1989,0.1,0.36635273271639,0.0255370205713714,1.44246395715902,1.05458199446628,1.97301137191888
1981,1990,0.1,0.161807435685185,0.0264166373117193,1.17563383439896,0.854918318974388,1.61666311495309
1981,1991,0.1,0.404884039320396,0.024231946909348,1.49912865000001,1.10493224105332,2.03395884901362
1981,1992,0.1,0.367122714415079,0.0243611836173525,1.44357505571493,1.06312232911128,1.96017794417357
1981,1993,0.1,0.385229439830797,0.0233838256941688,1.46995154818754,1.08927924869381,1.9836580533504
1981,1994,0.1,0.543375616200922,0.0223578048065983,1.7218092305243,1.28442543037786,2.30813479412855
1981,1995,0.1,0.608718513221837,0.0220066429306128,1.83807442081858,1.37432814200474,2.458304878731
1981,1996,0.1,0.721120873986209,0.0219216126661809,2.05673726242073,1.53868723093409,2.74920599949472
1981,1997,0.1,0.623872135600551,0.0214682327050077,1.86614001715819,1.40031525660994,2.48692467442653
1981,1998,0.1,0.629450320903527,0.0213085397088343,1.87657877958294,1.40965593735027,2.49816130494968
1981,1999,0.1,0.505131421677215,0.0211277896073182,1.65720329858714,1.2463792994644,2.2034406171767
1981,2000,0.1,0.419692436811496,0.0215170499801925,1.52149352824749,1.14132671798496,2.02829086537648
1981,2001,0.1,0.305285617356872,0.0212534923011758,1.357012533994,1.01974311564158,1.80583030095598
1981,2002,0.1,0.178586894836338,0.0214062444072452,1.19552676386255,0.89747236862687,1.59256629293052
1981,2003,0.1,-0.0267976150451268,0.0214260459422574,0.9735582551309,0.73074548260414,1.29705307620352
1981,2004,0.1,-0.172385271849308,0.0214565736038933,0.841654844776686,0.631610721264759,1.12154979940426
1981,2005,0.1,-0.27119063659216,0.0215350648274842,0.762471127651808,0.571888047508989,1.01656648191005
1981,2006,0.1,-0.440864769614762,0.0220252958569897,0.643479718699734,0.481070480258077,0.860718263477231
1981,2007,0.1,-0.549284238981373,0.0218061782976975,0.577362916389414,0.432267591600093,0.771161067124555
1981,2008,0.1,-0.543343055948354,0.0218645128106331,0.580803345140706,0.434675221803703,0.776056487247787
1982,1983,0.1,0.176661307876593,0.0212643410018018,1.19322688813203,0.89659907609077,1.58799004430059
1982,1984,0.1,-0.0801027270559355,0.0222307136157905,0.923021522232672,0.689124916217369,1.23630521906131
1982,1985,0.1,0.177444976011955,0.019305446733064,1.19416234851989,0.909481755042811,1.5679519756341
1982,1986,0.1,-0.168747348255463,0.0221542503267875,0.84472229698975,0.630984270595271,1.13086140540155
1982,1987,0.1,-0.0927395909356249,0.019777530593175,0.911430814241027,0.691858074685336,1.20068863766008
1982,1988,0.1,-0.0623340051928235,0.0187476748184741,0.939569013446836,0.71842318785805,1.22878819329519
1982,1989,0.1,0.0115983868266891,0.0177897128423014,1.01166590891176,0.77894265390048,1.31391946009034
1982,1990,0.1,-0.194735199571104,0.0189127143472765,0.82305257387721,0.628589841146371,1.07767497185523
1982,1991,0.1,0.011757737517249,0.0167887753314143,1.01182713141808,0.78490094889861,1.30436094555669
1982,1992,0.1,-0.0264314891787379,0.0162229832067361,0.973914765250346,0.758759001373233,1.25008068208217
1982,1993,0.1,0.00285950052351876,0.0157480672851576,1.00286359279483,0.784193925745312,1.2825085131812
1982,1994,0.1,0.12068937093826,0.014611744955856,1.12827438311486,0.890271136065324,1.42990492673888
1982,1995,0.1,0.179631142534465,0.0144369217812711,1.19677584199374,0.945665974363931,1.5145648197221
1982,1996,0.1,0.287431913664705,0.013837388689422,1.33299983000003,1.05852516614788,1.67864553777824
1982,1997,0.1,0.184444465653169,0.0136818168587999,1.20255019659077,0.956178041619444,1.51240345665253
1982,1998,0.1,0.231033118844338,0.0135227198802615,1.25990096522222,1.00311919060342,1.58241458944976
1982,1999,0.1,0.0862921871536026,0.0135179467497822,1.0901248022389,0.867980206860139,1.36912348353572
1982,2000,0.1,-0.00274146049514706,0.0135037527022981,0.997262293876072,0.794136160223572,1.2523445381293
1982,2001,0.1,-0.136127214010749,0.0136015174508314,0.872731601739171,0.69439863636135,1.09686339919289
1982,2002,0.1,-0.277303919536994,0.0138593842880333,0.757824144544826,0.601672250335201,0.954502112628839
1982,2003,0.1,-0.451056054418657,0.013542226965975,0.63695513702736,0.507053291659494,0.800136500953816
1982,2004,0.1,-0.592811079479179,0.0140920595099964,0.552771214822433,0.438025405793879,0.697576012474614
1982,2005,0.1,-0.722065804168875,0.0137754270610007,0.485747759024607,0.385928037977378,0.611385704531938
1982,2006,0.1,-0.870319756585355,0.0138817447678128,0.418817608146238,0.33245714537576,0.527611427015896
1982,2007,0.1,-0.981056431854609,0.0141838379633185,0.374914817610104,0.296864300834625,0.473486101455898
1982,2008,0.1,-0.973867147684749,0.013853501539573,0.377619898921336,0.299824891435271,0.475600232451498
1983,1984,0.1,-0.242744760445781,0.0182449137657607,0.784471716431851,0.602008077839944,1.02223856545186
1983,1985,0.1,-0.0206831982771528,0.0153364371433459,0.979529231968508,0.76842995708599,1.24862065492515
1983,1986,0.1,-0.361957312960275,0.0173242698180792,0.696312090709253,0.537981509181398,0.901240134453038
1983,1987,0.1,-0.315506178571719,0.016870601049799,0.729419564255316,0.565480322136716,0.940886676141103
1983,1988,0.1,-0.257362473041358,0.0154308452277106,0.773087939435929,0.606026801164079,0.986202195931391
1983,1989,0.1,-0.19271184395486,0.0136103124675844,0.824719587837333,0.656148856595802,1.03659770450773
1983,1990,0.1,-0.373775735896715,0.0149293423365469,0.688131217656173,0.541584983646974,0.874331059779954
1983,1991,0.1,-0.163203602937095,0.0126255211147677,0.849418226761646,0.68151861688378,1.05868175289765
1983,1992,0.1,-0.201437995239316,0.0119880264831794,0.817554268245299,0.659657742113924,1.01324511008418
1983,1993,0.1,-0.174827123474359,0.0112637187981944,0.839602155727235,0.681922399451901,1.03374193378662
1983,1994,0.1,0.0068342438401619,0.0104791105641243,1.00685765057666,0.823820656965787,1.2305619189722
1983,1995,0.1,0.0616987772609229,0.0101030052347073,1.06364190334082,0.873449933797642,1.29524779242193
1983,1996,0.1,0.142483294543383,0.00965375665595679,1.15313381716951,0.951143731547847,1.39801962226677
1983,1997,0.1,0.0766148033400729,0.00964375210400321,1.07962612790832,0.890600993646817,1.30877080126473
1983,1998,0.1,0.106560990120485,0.00932706464725582,1.11244577257839,0.920603430618952,1.34426568027832
1983,1999,0.1,-0.0423655809900865,0.00940645802154224,0.958519300077146,0.792584301794961,1.15919435514894
1983,2000,0.1,-0.149882361516717,0.00947645732497252,0.860809234761776,0.711287076719612,1.04176297152556
1983,2001,0.1,-0.263824961897855,0.00956628606668016,0.768107976052988,0.634115649315328,0.930413661156676
1983,2002,0.1,-0.424349542751877,0.0097548573494413,0.654195172758424,0.539059846852384,0.793921726055808
1983,2003,0.1,-0.555633378943405,0.00970509305653446,0.573708771039859,0.47297246057231,0.695900462301324
1983,2004,0.1,-0.685058027686181,0.0097793202167478,0.50406097923385,0.415247837031642,0.611869462349125
1983,2005,0.1,-0.820641598361714,0.00993018667163932,0.440149164910143,0.362057354992983,0.535084523762405
1983,2006,0.1,-0.955751059795209,0.00981599164074922,0.384523236129828,0.316657086416964,0.466934502545952
1983,2007,0.1,-1.0568520266831,0.00971920951133336,0.347548162422006,0.286482697702844,0.421630088558446
1983,2008,0.1,-1.06762129496121,0.00954927956425145,0.343825404689193,0.283895294686439,0.416406721500109
1984,1985,0.1,0.236119752379117,0.017212548286014,1.26632594663213,0.979198536551345,1.63764685429519
1984,1986,0.1,-0.114935376552719,0.0204582583778772,0.891423748921137,0.673495700465425,1.17986840835283
1984,1987,0.1,-0.0265678638035397,0.0176539589706142,0.973781957045686,0.750523171646534,1.26345372893339
1984,1988,0.1,-0.00390836296998545,0.0162404387354916,0.996099264740045,0.775938345253724,1.27872755778194
1984,1989,0.1,0.0465407464199676,0.0145121159286291,1.04764076580948,0.827315834453357,1.32664108249672
1984,1990,0.1,-0.0927684048742096,0.0159691273702895,0.911404552707873,0.711452148202393,1.16755323712978
1984,1991,0.1,0.0867120046710407,0.0138750302984028,1.090582551806,0.865752076459315,1.37380011511826
1984,1992,0.1,0.071430722402188,0.0139622753279724,1.07404374095356,0.852005170400793,1.35394713266689
1984,1993,0.1,0.0346734891016223,0.0128811641883577,1.0352816228755,0.828802784481339,1.29320033514904
1984,1994,0.1,0.196238657520862,0.0123761409979553,1.21681727327747,0.978432358003868,1.51328220539142
1984,1995,0.1,0.285967645950499,0.011780996593916,1.33104938971778,1.07598074678244,1.64658381032008
1984,1996,0.1,0.402080491326389,0.0115804548445755,1.49493165686537,1.21065777105304,1.84595573756107
1984,1997,0.1,0.310209817451938,0.0110611954543789,1.36371121452891,1.10968485195537,1.67588867537926
1984,1998,0.1,0.306515319705431,0.0110795427557868,1.35868228193015,1.10540377228578,1.66999388776617
1984,1999,0.1,0.185775421101178,0.0109588803152505,1.20415180292333,0.980784258543189,1.47838992301655
1984,2000,0.1,0.0868860456585648,0.0110447171875139,1.09077237438827,0.887724249358365,1.34026345860055
1984,2001,0.1,-0.030639005102274,0.0110891457351155,0.969825611988706,0.788965221978922,1.19214597990784
1984,2002,0.1,-0.174222053679137,0.0112524836646968,0.840110327355817,0.682405943231813,1.03426028030671
1984,2003,0.1,-0.322076201697291,0.0114811508341157,0.724642969201774,0.587378065975038,0.89398542988134
1984,2004,0.1,-0.508892459098564,0.0114266932138511,0.601161020660943,0.487529633149441,0.741277141304208
1984,2005,0.1,-0.581374120142164,0.0115339283623967,0.559129527302076,0.452998409933935,0.690125663678679
1984,2006,0.1,-0.750819126624636,0.0115739692410734,0.471979783149338,0.382251418342554,0.582770671375418
1984,2007,0.1,-0.858819441841524,0.0119214906882326,0.423661944766677,0.342042854384401,0.524757179232769
1984,2008,0.1,-0.903555736055187,0.0112234477346611,0.405126572481657,0.329165097203818,0.498617687977737
1985,1986,0.1,-0.357833703289047,0.0166876271286526,0.699189338226443,0.542795291997769,0.900644751155175
1985,1987,0.1,-0.257457440854925,0.0148886134101609,0.773014524450711,0.608590225695877,0.981861735174114
1985,1988,0.1,-0.234443846387168,0.0137780217856276,0.791010650750112,0.628446697816833,0.995625964419469
1985,1989,0.1,-0.13204377195582,0.0122859686366456,0.876302636759569,0.705188402797501,1.08893780462848
1985,1990,0.1,-0.348451946549623,0.0137282437881,0.705779829365079,0.560965316322294,0.887978548842064
1985,1991,0.1,-0.142147220271963,0.0116449546915993,0.86749353445044,0.702120354400367,1.0718177127282
1985,1992,0.1,-0.19252778764028,0.0110565461573905,0.82487139665549,0.671246920353169,1.01365503570934
1985,1993,0.1,-0.163662813065253,0.0104845343655293,0.849028254855253,0.694647056174874,1.03771976161817
1985,1994,0.1,0.00977179889092847,0.00951664434512337,1.00981969881338,0.83407734957232,1.22259143547588
1985,1995,0.1,0.0579195260105936,0.00920616079232558,1.05962971964825,0.877975535511904,1.27886837086772
1985,1996,0.1,0.145451127353463,0.00889018039201479,1.15656120899376,0.961414661980912,1.3913183177309
1985,1997,0.1,0.0768644797881333,0.00880315531948729,1.07989571877901,0.898499257631525,1.2979139977381
1985,1998,0.1,0.0962144698631091,0.00847250253899993,1.10099516895754,0.919254040995295,1.31866742816315
1985,1999,0.1,-0.0520750184999114,0.00856528037076129,0.949257652286614,0.791783460350335,1.13805116619384
1985,2000,0.1,-0.142447656246098,0.00857814639589024,0.867232947332194,0.723267487933961,1.03985454549722
1985,2001,0.1,-0.272078453076483,0.00870060547613975,0.761794493623725,0.634512631294146,0.914608822415071
1985,2002,0.1,-0.422342425561983,0.0087666814789759,0.655509537736238,0.54560776091065,0.787548830584805
1985,2003,0.1,-0.565674319715379,0.00866959211461721,0.567977019494797,0.473232802136937,0.681689631862934
1985,2004,0.1,-0.680037754975584,0.0085835180110611,0.506597865414483,0.422475812662227,0.607470036273291
1985,2005,0.1,-0.851271197685222,0.00874344213996245,0.426871948269522,0.355389707239263,0.512731957362904
1985,2006,0.1,-0.967759200518198,0.00902170124860004,0.379933439612536,0.315397431744025,0.457674679649788
1985,2007,0.1,-1.07971994650263,0.00878107130754067,0.339690643878061,0.282696041178617,0.408175979604131
1985,2008,0.1,-1.07945279463907,0.00864768176707302,0.339781404989569,0.283167819912751,0.407713712710217
1986,1987,0.1,0.0735059018476438,0.0172758541949905,1.07627488866356,0.831846669909769,1.3925254230968
1986,1988,0.1,0.114636923173392,0.0167648339346247,1.12146618526078,0.870108446608828,1.44543638162012
1986,1989,0.1,0.198896835865696,0.0148971568544024,1.22005609337654,0.960477779670329,1.54978793106088
1986,1990,0.1,-0.0204912735511398,0.0166966865952187,0.979717245889658,0.760522705343652,1.2620870818839
1986,1991,0.1,0.175188193116741,0.0141556824043992,1.19147042204697,0.943646431618167,1.50437888497966
1986,1992,0.1,0.131610989620898,0.0131065516941165,1.1406645026176,0.911400153859617,1.42760071086433
1986,1993,0.1,0.167861931507492,0.0127344705469823,1.18277329564783,0.948081943133439,1.47556092490704
1986,1994,0.1,0.311366769474356,0.0119025647097843,1.36528987601826,1.1024521235804,1.69079128761098
1986,1995,0.1,0.386473232043308,0.0111933533671089,1.47178099996903,1.19615434410697,1.81091957115872
1986,1996,0.1,0.447908456900283,0.0109094329550623,1.56503542090212,1.27531561088709,1.92057232560225
1986,1997,0.1,0.372151564563977,0.0110184622078551,1.45085286251114,1.18106476343741,1.78226808031286
1986,1998,0.1,0.410604033101061,0.0106649957439953,1.50772822787343,1.23145411518648,1.8459838503866
1986,1999,0.1,0.244687905857286,0.0108468672027657,1.27722263729187,1.04139483285471,1.56645454129923
1986,2000,0.1,0.179039702241619,0.0105937523264911,1.19606822981509,0.97756405122782,1.46341225270732
1986,2001,0.1,0.0128138026745979,0.0110183698403076,1.01289625122756,0.824547501588219,1.24426890358004
1986,2002,0.1,-0.135927669526681,0.0107440389717898,0.872905767892739,0.71242209693422,1.06954077210602
1986,2003,0.1,-0.261972658445121,0.0109660893943373,0.769532063623092,0.626743246041929,0.944851979951608
1986,2004,0.1,-0.39881016916965,0.0110765419094433,0.67111808816603,0.546026988150198,0.824866715452047
1986,2005,0.1,-0.539429832471564,0.0111047025012537,0.583080611245861,0.474274700795336,0.71684827092972
1986,2006,0.1,-0.657807745595496,0.0110830808849943,0.517985647002721,0.421411566492344,0.636691424333989
1986,2007,0.1,-0.776613184198371,0.0110489820345955,0.459961180076409,0.374324163669511,0.565190035030898
