y1,y2,region,decay,logratio,var_log_ratio,ratio,ratio_lci,ratio_uci
1999,2007,10,10,-0.999293330540821,0.00206308760913513,0.368139502214954,0.336782723438119,0.402415811914343
2000,2007,10,10,-0.931454253788537,0.00200263166616875,0.393980346153104,0.360896467014585,0.430097070328612
2001,2007,10,10,-0.703707856239505,0.0021502107649737,0.494747446235705,0.451765471622205,0.54181882178337
2002,2007,10,10,-0.52557888830875,0.00215646458942353,0.591213018981836,0.539779149720018,0.647547861000036
2003,2007,10,10,-0.357418333279759,0.00232236924468086,0.699479820833061,0.636436333540523,0.7687682081738
2004,2007,10,10,-0.279742902810411,0.00225159367147973,0.755978076311993,0.688840811955876,0.829658815135636
2005,2007,10,10,-0.12161745188506,0.00232172137756854,0.88548704511836,0.805689509286028,0.973187931623033
2006,2007,10,10,-0.0315774208184681,0.00232616682881025,0.968915939284786,0.881520366373165,1.06497607226321
1980,2008,10,10,-0.937479352163961,0.0108278146995729,0.391613712569048,0.319362995901866,0.480209986254132
1981,2008,10,10,-1.07561163680377,0.00896357829876795,0.341089068859466,0.283321344688711,0.410635326552059
1982,2008,10,10,-1.15866621965334,0.00694597279819341,0.313904581554888,0.266597693231659,0.369605922417065
1983,2008,10,10,-1.03666364765055,0.00715264140896427,0.354635900702619,0.300464926059284,0.418573387971224
1984,2008,10,10,-1.10333909591838,0.00619035328555466,0.331761448840764,0.284350767319524,0.387077059698039
1985,2008,10,10,-1.1704548356312,0.00526712644079596,0.310225807420634,0.269092749451,0.3576463943608
1986,2008,10,10,-0.934173397511982,0.00579374551491036,0.392910512143091,0.338456634913779,0.456125407592832
1987,2008,10,10,-1.00394333049784,0.00528249550065472,0.366431627431687,0.317780292879308,0.422531354495387
1988,2008,10,10,-0.942609441930338,0.00494847459801337,0.389609843478769,0.339431241025115,0.447206420001627
1989,2008,10,10,-1.11106584389327,0.00412670786706051,0.32920788979588,0.290261549836129,0.373379921539874
1990,2008,10,10,-1.19845209145662,0.00356187082953338,0.301660794026095,0.268360109638642,0.339093745247714
1991,2008,10,10,-1.26800272359387,0.00317493412385312,0.281393080658295,0.251971337083357,0.314250290366046
1992,2008,10,10,-1.19112428378421,0.00312221201176715,0.303879425230639,0.272357233546628,0.339049945088734
1993,2008,10,10,-1.24754296688663,0.00293977205573685,0.287209614158352,0.258254032282093,0.319411711546426
1994,2008,10,10,-1.26103384918951,0.002666694834045,0.283360922553119,0.256084838585626,0.313542234181534
1995,2008,10,10,-1.28827379266634,0.00250281634444822,0.275746367895159,0.24999179649134,0.304154218156539
1996,2008,10,10,-1.26809395383601,0.00238239243077111,0.281367410270387,0.255697718139119,0.309614102692895
1997,2008,10,10,-1.23434965663879,0.00227341513935023,0.291023966341872,0.265059377429985,0.319531984895448
1998,2008,10,10,-1.20982673119966,0.00221552333629663,0.298248952191269,0.271965256525492,0.32707279826698
1999,2008,10,10,-1.05046422761309,0.00232873991040917,0.349775336046388,0.318209201096911,0.384472809977307
2000,2008,10,10,-0.981170775891893,0.00225065409356398,0.37487195078705,0.34158677140242,0.411400532022748
2001,2008,10,10,-0.764692546016516,0.00237232721767023,0.465477021740828,0.423096237569759,0.512103012338858
2002,2008,10,10,-0.583770158487264,0.00248666491164361,0.557791435214923,0.505854274960199,0.61506109684178
2003,2008,10,10,-0.414235473618953,0.00254103017206172,0.660845321303881,0.59867609100881,0.729470485372704
2004,2008,10,10,-0.34517841426434,0.00248228426966206,0.708094008125686,0.642217161796299,0.780728317725234
2005,2008,10,10,-0.134555777521079,0.00266191428125384,0.874104122155721,0.790035296856112,0.967118835588912
2006,2008,10,10,-0.101944458748495,0.0026101362804418,0.903079708453195,0.817031176811913,0.998190745917709
2007,2008,10,10,-0.0330580261615817,0.00251544421204323,0.967482418669073,0.876903382976111,1.06741774362531
1980,2009,10,10,-1.20807890783221,0.0130775295410271,0.298770694503105,0.238779544323913,0.373834065839316
1981,2009,10,10,-1.38038264543783,0.00982959007036374,0.251482306089579,0.207069274674905,0.305421218939525
1982,2009,10,10,-1.40016597924567,0.00875589836260724,0.246556037360122,0.205241979994455,0.296186382339365
1983,2009,10,10,-1.29895744595664,0.00858675645121787,0.272816070318251,0.227506373749755,0.327149551887985
1984,2009,10,10,-1.3411862423091,0.00764814481622549,0.261535240327766,0.220338056729102,0.310435169251758
1985,2009,10,10,-1.44112584228367,0.00653050485922934,0.236661165492323,0.201994754741138,0.277277037831806
1986,2009,10,10,-1.1764225763036,0.0070917935709179,0.308379973459379,0.261459310817335,0.363720870117516
1987,2009,10,10,-1.2830642977732,0.00632423037131982,0.277186615414338,0.237181290336976,0.323939631392073
1988,2009,10,10,-1.16865305361558,0.00608568909156344,0.31078527056519,0.266721172373801,0.362129048626533
1989,2009,10,10,-1.39253904383702,0.00489355687169523,0.248443693697733,0.216612271489411,0.284952779977613
1990,2009,10,10,-1.45580818176288,0.00434099988957459,0.233211810186697,0.204959498459972,0.265358516288415
1991,2009,10,10,-1.53818567701512,0.00387220831279768,0.214770411046724,0.190110747659603,0.242628731037179
1992,2009,10,10,-1.4524248579584,0.00393312426641306,0.234002177535984,0.206936506330098,0.264607826152412
1993,2009,10,10,-1.53514917929883,0.00362724508634569,0.21542355203811,0.191438020688926,0.242414263403427
1994,2009,10,10,-1.56161249294231,0.00319930671947848,0.209797501313166,0.187782145617259,0.23439391116001
1995,2009,10,10,-1.54979214937588,0.00316492295299012,0.212292094285645,0.190128501219801,0.237039333961213
1996,2009,10,10,-1.5473848388508,0.00293392980340684,0.212803762904137,0.191369764604482,0.236638434497501
1997,2009,10,10,-1.50545172858247,0.00286319687212919,0.221917024923395,0.19982223262156,0.246454887950927
1998,2009,10,10,-1.46096038597236,0.00284330927362612,0.232013345335502,0.208989568860928,0.25757358468734
1999,2009,10,10,-1.33378379810804,0.00290513076504773,0.263478423630647,0.237064169702762,0.292835816588954
2000,2009,10,10,-1.23409480003367,0.00282874660149207,0.291098145174024,0.262281382920159,0.323080994847249
2001,2009,10,10,-1.03065321384951,0.0030009155566008,0.356773834826904,0.320452492701771,0.397211980296734
2002,2009,10,10,-0.815738659346101,0.00322422492922622,0.442312488411427,0.395727339374842,0.494381656101334
2003,2009,10,10,-0.692559911248432,0.00324798556843384,0.500293720893948,0.447418707842343,0.559417393101292
2004,2009,10,10,-0.592384829186543,0.0032162362415123,0.553006883937959,0.49483146327638,0.618021763729204
2005,2009,10,10,-0.363942519190779,0.00334797868108083,0.694931138799103,0.620425710239188,0.778383744745906
2006,2009,10,10,-0.336940708378369,0.00335407331995219,0.713951169970432,0.637340791485418,0.799770358200602
2007,2009,10,10,-0.305627940052311,0.00317693433740956,0.736660650398022,0.659614346345254,0.822706353874229
2008,2009,10,10,-0.221769518775337,0.00312380352287212,0.801099981563267,0.717979788855868,0.893842961071845
1980,2010,10,10,-1.29808385851713,0.0143890533355996,0.273054503141375,0.215845992443315,0.345425740092736
1981,2010,10,10,-1.39019079307104,0.0114872932166164,0.249027787322507,0.201844563962325,0.307240569878904
1982,2010,10,10,-1.41323531844852,0.00976016278656842,0.243354678267218,0.200514825721073,0.295347235405532
1983,2010,10,10,-1.25932457639431,0.0103822383099562,0.283845677840751,0.232461254696227,0.346588376347533
1984,2010,10,10,-1.41702956786612,0.00874169601069397,0.242433079414522,0.201839915375154,0.291190163675834
1985,2010,10,10,-1.48488643861937,0.00722307726560992,0.226528064055556,0.191769488637465,0.267586695721798
1986,2010,10,10,-1.24815917484377,0.00805407070786356,0.287032687826047,0.240735823992931,0.34223308568759
1987,2010,10,10,-1.34040758102092,0.00723234756192062,0.261738967001648,0.221553937343107,0.309212680526624
1988,2010,10,10,-1.26006260584379,0.00676012947414122,0.283636268655975,0.241421512803725,0.333232660017708
1989,2010,10,10,-1.44282699177088,0.00561365176530317,0.236258911715914,0.203991707622642,0.273630109849586
1990,2010,10,10,-1.49701894123259,0.00489866598428271,0.223796316701202,0.195108835957329,0.25670181016291
1991,2010,10,10,-1.62425477316004,0.00429940853182275,0.197058473761976,0.17329336538268,0.224082681963314
1992,2010,10,10,-1.5344129472475,0.0041814779657277,0.215582212159899,0.189919925313546,0.244712028624839
1993,2010,10,10,-1.62336949635785,0.00379152463362946,0.197233002299107,0.174810110138463,0.222532078751665
1994,2010,10,10,-1.63877232648218,0.00358826160012884,0.194218332693278,0.172703628204655,0.218413250180578
1995,2010,10,10,-1.59885264243402,0.00340508630758791,0.202128298434216,0.180283863492556,0.22661955560764
1996,2010,10,10,-1.60826122887855,0.00327795912570393,0.200235475223853,0.178980940571617,0.224014050937892
1997,2010,10,10,-1.60522595121737,0.00309922900181506,0.200844168798461,0.180082795960126,0.223999077342604
1998,2010,10,10,-1.53506014358364,0.00309250203035607,0.21544273328203,0.193195187254011,0.240252213234511
1999,2010,10,10,-1.35348133244382,0.00327691188849763,0.258339328248271,0.230921342961643,0.289012733356801
2000,2010,10,10,-1.32013310314541,0.00305005930828348,0.267099747783147,0.239697706811935,0.297634367114723
2001,2010,10,10,-1.10297812113751,0.00327072718246674,0.331881227974381,0.296689543781429,0.371247156465098
2002,2010,10,10,-0.864704173505842,0.00346731214169408,0.42117612925762,0.375268139003369,0.472700219974814
2003,2010,10,10,-0.725934451734605,0.00371491164385249,0.483872202412058,0.429387972642747,0.545269833307361
2004,2010,10,10,-0.594039444792282,0.00361425610337751,0.552092626698446,0.490725731351092,0.621133657726855
2005,2010,10,10,-0.422134496404901,0.00368803411521939,0.655645851453186,0.582071774416563,0.738519717707756
2006,2010,10,10,-0.34227353015795,0.00378117710766148,0.710153929623802,0.629522163627738,0.801113341036158
2007,2010,10,10,-0.319993688522777,0.00352171122531381,0.726153620161262,0.646420016647103,0.815722079288848
2008,2010,10,10,-0.223844404167123,0.00349386952200067,0.799439514149666,0.711986845572464,0.897633911016979
2009,2010,10,10,-0.0283074290001769,0.00376015956946767,0.972089472364621,0.862006304168457,1.09623089496276
1980,2011,10,10,-1.40073017201,0.0177592381227593,0.246416971461517,0.189773807325222,0.319966831461655
1981,2011,10,10,-1.57657331962711,0.0130396910642836,0.206682119707732,0.16523534604406,0.258525186224324
1982,2011,10,10,-1.52434672256546,0.0120477393094547,0.2177632702383,0.175612279683815,0.270031469042248
1983,2011,10,10,-1.38930238712179,0.0123815687258692,0.249249123393877,0.200409506169598,0.309990911608963
1984,2011,10,10,-1.57316992808913,0.00995209647838961,0.207386738251253,0.170555193840483,0.252172087135144
1985,2011,10,10,-1.66205897566001,0.00825667731897834,0.189747891328768,0.158793037770678,0.226737033116716
1986,2011,10,10,-1.36920630930163,0.00976298465628701,0.254308721940863,0.20953466842337,0.308650241708555
1987,2011,10,10,-1.50432799855758,0.00814428513006868,0.222166539914823,0.186149287380873,0.265152621061261
1988,2011,10,10,-1.41150011545107,0.00790514554345797,0.243777314608268,0.204791631457013,0.290184607128795
1989,2011,10,10,-1.60119575139759,0.00647506690483548,0.201655244231563,0.172232539376744,0.236104267365765
1990,2011,10,10,-1.63267517872297,0.00584975649142177,0.195406127967192,0.168203541270451,0.227008031809128
1991,2011,10,10,-1.78844666826938,0.00496960270791434,0.167219715724711,0.145640338532148,0.191996486748629
1992,2011,10,10,-1.69502348805681,0.00488286357176245,0.18359491668924,0.160096126861321,0.21054284132262
1993,2011,10,10,-1.78903886668373,0.00445060761245093,0.167120717790314,0.14663721058359,0.190465531931465
1994,2011,10,10,-1.8053537217239,0.00420793091278505,0.164416288677069,0.144786682392578,0.186707199416615
1995,2011,10,10,-1.76827500376186,0.0041411669409244,0.170627066158589,0.150408190823432,0.193563897993193
1996,2011,10,10,-1.75937464942147,0.00384295548304919,0.172152485825409,0.152456509755488,0.194393000491741
1997,2011,10,10,-1.75057166979946,0.00373443675347686,0.173674630524846,0.154070476210913,0.195773246307427
1998,2011,10,10,-1.71151879272318,0.00369412673640225,0.180591303466249,0.160310280748182,0.203438099761476
1999,2011,10,10,-1.50485015169017,0.00390412898507277,0.222050565240953,0.196456422776929,0.250979086490916
2000,2011,10,10,-1.49715191873499,0.00371983712496292,0.223766558804569,0.198554622890325,0.252179839030474
2001,2011,10,10,-1.27294232508084,0.00388802514511977,0.280006538281311,0.247794878084966,0.316405496700378
2002,2011,10,10,-1.0214931335785,0.0041712092913798,0.360056925523494,0.317246180687155,0.408644760786809
2003,2011,10,10,-0.877223397259881,0.00437287008633003,0.415936199420718,0.365374922084447,0.473494242575756
2004,2011,10,10,-0.7481575410411,0.00427398472219957,0.473237670981371,0.416323949481241,0.537931804103343
2005,2011,10,10,-0.574391847329615,0.00443388006736326,0.563047183354762,0.494157628290093,0.641540497473864
