y1,y2,region,logratio,var_log_ratio,ratio,ratio_lci,ratio_uci
1980,1981,Lothian_and_Tayside,-0.128659114475276,0.12955879444985,0.87927364612253,0.434250391898475,1.78036026953399
1980,1982,Lothian_and_Tayside,-0.0565273172133256,0.192628215258732,0.945040668264998,0.399818590847403,2.23376772646278
1980,1983,Lothian_and_Tayside,0.508022935661719,0.0942005772396279,1.66200205959898,0.910709405866274,3.03307600461618
1980,1984,Lothian_and_Tayside,0.117803800869144,0.135241962721017,1.1250233611069,0.547179696262356,2.31309306920888
1980,1985,Lothian_and_Tayside,-0.127660282417153,0.0960414894835173,0.880152331584691,0.47947471208972,1.61566002807049
1980,1986,Lothian_and_Tayside,-0.018721258090306,0.140064123205697,0.981452896172904,0.471309373435666,2.04377388122892
1980,1987,Lothian_and_Tayside,0.0597031587651604,0.102613286576458,1.06152139645077,0.566579340400524,1.98882591505405
1980,1988,Lothian_and_Tayside,0.448445803324186,0.128391643912528,1.56587661307438,0.775812683994843,3.1605175037195
1980,1989,Lothian_and_Tayside,0.0104620929287779,0.18098444174748,1.01051701197864,0.438958236482481,2.32629108336369
1980,1990,Lothian_and_Tayside,0.43955556529287,0.124086765061966,1.55201729485778,0.778130994981441,3.09556835426549
1980,1991,Lothian_and_Tayside,0.32222210004804,0.0845417049836068,1.38019128246857,0.780626769357088,2.44025448649566
1980,1992,Lothian_and_Tayside,0.39210639480191,0.111298562955419,1.48009517745857,0.769691264729856,2.84618240419422
1980,1993,Lothian_and_Tayside,0.448426138471558,0.113254404771816,1.56584582064432,0.809639444992339,3.02835187835059
1980,1994,Lothian_and_Tayside,0.323333643573634,0.0770713344967053,1.38172627810187,0.80188813986537,2.38084018541261
1980,1995,Lothian_and_Tayside,0.51470489577739,0.0825989378409108,1.67314467687702,0.952572213854822,2.93879358335824
1980,1996,Lothian_and_Tayside,0.679260903079669,0.0723647325381898,1.97241938427407,1.16418001983762,3.34178405501476
1980,1997,Lothian_and_Tayside,0.490349692483083,0.0687477639711887,1.6328871284829,0.976726267701298,2.7298542719039
1980,1998,Lothian_and_Tayside,0.727364149647148,0.0704710640571408,2.06961820791895,1.23006194934765,3.48219821678188
1980,1999,Lothian_and_Tayside,0.60453927821596,0.064203951009439,1.8304087054262,1.11395175414458,3.00766708830476
1980,2000,Lothian_and_Tayside,0.670389783385738,0.0734247575756245,1.9549991983493,1.14946691437772,3.32503860506113
1980,2001,Lothian_and_Tayside,0.697383084102753,0.0613144919785121,2.00848977532606,1.23622383912362,3.26318830774945
1980,2002,Lothian_and_Tayside,0.913543393282015,0.0648504335455045,2.49314107972203,1.51349856084802,4.10687700946
1980,2003,Lothian_and_Tayside,0.679543261608122,0.061970816616802,1.9729763923432,1.21122353635566,3.2138046594238
1980,2004,Lothian_and_Tayside,0.943168893814198,0.0633063249136397,2.56810659472154,1.56835498716977,4.20515223645497
1980,2005,Lothian_and_Tayside,0.743845282051346,0.0613481292014722,2.10401049304422,1.29484440112629,3.41883561529833
1980,2006,Lothian_and_Tayside,0.818265550280955,0.0632421042698244,2.26656518294377,1.38454856836032,3.71046407900077
1980,2007,Lothian_and_Tayside,0.8016550000569,0.0646253706545124,2.22922724844421,1.3544593258092,3.66895781254799
1980,2008,Lothian_and_Tayside,0.484634516345086,0.0618639715107261,1.62358150788983,0.997147158612448,2.64355856604947
1980,2009,Lothian_and_Tayside,0.576584878838719,0.0649198906319498,1.77994929659397,1.08025612787201,2.93284103343752
1981,1982,Lothian_and_Tayside,0.324993085036483,0.186288583120615,1.38402107549242,0.593955945215226,3.22501079892901
1981,1983,Lothian_and_Tayside,0.841076116748309,0.126048920468576,2.31886099976931,1.15629724854197,4.65028896594833
1981,1984,Lothian_and_Tayside,0.235001096183245,0.132018663056705,1.26491015530545,0.620555943080053,2.57832951055704
1981,1985,Lothian_and_Tayside,0.279061632347237,0.102755097478686,1.32188881246926,0.705242638273925,2.47771467251061
1981,1986,Lothian_and_Tayside,0.175244278552331,0.108948610386415,1.19153724805854,0.623948044745544,2.27544749193009
1981,1987,Lothian_and_Tayside,0.155155740061102,0.108523820381202,1.16783982638882,0.612311407873427,2.22737947156097
1981,1988,Lothian_and_Tayside,0.357757528042802,0.0955168675289089,1.43011881472823,0.780371582408859,2.62085379624718
1981,1989,Lothian_and_Tayside,0.393928323425518,0.128010638320721,1.48279426325226,0.735416077424319,2.98970731620982
1981,1990,Lothian_and_Tayside,0.646623317408699,0.121601305319121,1.90908356384655,0.963827303434149,3.78138286886375
1981,1991,Lothian_and_Tayside,0.628409147752246,0.0876931656561442,1.87462595293313,1.04917525947382,3.34950946629535
1981,1992,Lothian_and_Tayside,0.583587611409415,0.0926419790173862,1.79245755037026,0.987114274399509,3.25484511084988
1981,1993,Lothian_and_Tayside,0.217001725187276,0.0962373369166414,1.24234624541585,0.676365878545,2.28193680736686
1981,1994,Lothian_and_Tayside,0.943952712447703,0.0766087808767697,2.57012031361541,1.49401656094,4.42131539847359
1981,1995,Lothian_and_Tayside,0.752798417722372,0.0841452843646808,2.12293256397872,1.20232340503053,3.74844459680697
1981,1996,Lothian_and_Tayside,0.981578778209919,0.0724609359303352,2.66866614976639,1.57457362260425,4.52298890103973
1981,1997,Lothian_and_Tayside,0.864432093815323,0.0731355475854332,2.37365768825018,1.39708451045563,4.03286327979665
1981,1998,Lothian_and_Tayside,1.06757721347928,0.0656354570931981,2.90832470740076,1.76023240844689,4.80524762701126
1981,1999,Lothian_and_Tayside,1.09911288281186,0.0657935354577701,3.00150215838572,1.81552958874936,4.96219685023146
