year,fyear,pc
1993,1970,0.00986436498150432
1993,1971,0.0135635018495684
1993,1972,0.0129469790382244
1993,1973,0.0160295930949445
1993,1974,0.0110974106041924
1993,1975,0.0129469790382244
1993,1976,0.0147965474722565
1993,1977,0.0200369913686806
1993,1978,0.0228113440197287
1993,1979,0.0258939580764488
1993,1980,0.0345252774352651
1993,1981,0.0403822441430333
1993,1982,0.0431565967940814
1993,1983,0.0527127003699137
1993,1984,0.0496300863131936
1993,1985,0.061035758323058
1993,1986,0.0539457459926017
1993,1987,0.0601109741060419
1993,1988,0.063193588162762
1993,1989,0.063501849568434
1993,1990,0.0672009864364981
1993,1991,0.0860049321824908
1993,1992,0.0792231812577065
1993,1993,0.0490135635018496
1994,1970,0.0089632506722438
1994,1971,0.0107559008066926
1994,1972,0.0119510008963251
1994,1973,0.00866447564983568
1994,1974,0.0128473259635494
1994,1975,0.0113534508515088
1994,1976,0.0170301762772632
1994,1977,0.0179265013444876
1994,1978,0.0194203764565282
1994,1979,0.0274873020615477
1994,1980,0.0292799521959964
1994,1981,0.0355542276665671
1994,1982,0.0460113534508515
1994,1983,0.0478040035853003
1994,1984,0.047206453540484
1994,1985,0.0507917538093815
1994,1986,0.0525844039438303
1994,1987,0.0576635793247684
1994,1988,0.0606513295488497
1994,1989,0.0567672542575441
1994,1990,0.0567672542575441
1994,1991,0.0651329548849716
1994,1992,0.0788766059157454
1994,1993,0.0782790558709292
1994,1994,0.0516880788766059
1995,1970,0.00711610486891386
1995,1971,0.0104868913857678
1995,1972,0.0116104868913858
1995,1973,0.0104868913857678
1995,1974,0.0131086142322097
1995,1975,0.0108614232209738
1995,1976,0.0142322097378277
1995,1977,0.0146067415730337
1995,1978,0.0187265917602996
1995,1979,0.0198501872659176
1995,1980,0.0318352059925094
1995,1981,0.0385767790262172
1995,1982,0.0389513108614232
1995,1983,0.0441947565543071
1995,1984,0.0580524344569288
1995,1985,0.0554307116104869
1995,1986,0.052059925093633
1995,1987,0.049438202247191
1995,1988,0.048314606741573
1995,1989,0.0453183520599251
1995,1990,0.0614232209737828
1995,1991,0.0539325842696629
1995,1992,0.0674157303370787
1995,1993,0.0726591760299626
1995,1994,0.0689138576779026
1995,1995,0.0475655430711611
1996,1970,0.00679851668726823
1996,1971,0.00772558714462299
1996,1972,0.00927070457354759
1996,1973,0.00834363411619283
1996,1974,0.0135970333745365
1996,1975,0.00772558714462299
1996,1976,0.0151421508034611
1996,1977,0.0135970333745365
1996,1978,0.0157601977750309
1996,1979,0.019159456118665
1996,1980,0.0219406674907293
1996,1981,0.0250309023485785
1996,1982,0.0395550061804697
1996,1983,0.0333745364647713
1996,1984,0.0417181705809641
1996,1985,0.0438813349814586
1996,1986,0.0509888751545117
1996,1987,0.0451174289245983
1996,1988,0.0429542645241038
1996,1989,0.0503708281829419
1996,1990,0.0494437577255872
1996,1991,0.0686032138442522
1996,1992,0.0642768850432633
1996,1993,0.0772558714462299
1996,1994,0.0803461063040791
1996,1995,0.0682941903584672
1996,1996,0.0543881334981459
1997,1970,0.00841009211053264
1997,1971,0.00680816980376452
1997,1972,0.00480576692030437
1997,1973,0.0108129755706848
1997,1974,0.00881057268722467
1997,1975,0.0100120144173008
1997,1976,0.0100120144173008
1997,1977,0.0148177813376051
1997,1978,0.00680816980376452
1997,1979,0.0176211453744493
1997,1980,0.0192230676812175
1997,1981,0.0300360432519023
1997,1982,0.0328394072887465
1997,1983,0.0320384461353624
1997,1984,0.0352422907488987
1997,1985,0.0380456547857429
1997,1986,0.0408490188225871
1997,1987,0.0416499799759712
1997,1988,0.0428514217060473
1997,1989,0.0440528634361234
1997,1990,0.052462955546656
