yr,md,lower,upper,region,parameter
2017,18.0571526351814,11.4315537303217,23.348733744011,GCC,dur
2019,17.8655030800821,10.2604380561259,23.8764544832307,GCC,dur
2009,6.70876112251882,2.83744010951403,11.5999315537303,Lothian_and_Tayside,dur
2010,6.7460643394935,2.96167008898015,12.2522245037645,Lothian_and_Tayside,dur
2011,6.51642710472279,3.25222450376454,12.4202600958248,Lothian_and_Tayside,dur
2013,9.81416837782341,5.32477754962355,15.4052019164956,Lothian_and_Tayside,dur
2015,11.4603011635866,6.26522929500342,16.5150581793292,Lothian_and_Tayside,dur
2016,10.7450376454483,6.91444216290212,16.2676249144422,Lothian_and_Tayside,dur
2018,13.7381930184805,6.92060232717317,18.0622861054073,Lothian_and_Tayside,dur
2017,13.3870636550308,7.42197125256674,19.8631074606434,Lothian_and_Tayside,dur
2009,9.10438056125941,4.73203285420945,12.7012320328542,Other,dur
2008,9.02943189596167,5.43258042436687,13.1288501026695,Other,dur
2010,9.56639288158796,5.47159479808351,14.5236139630391,Other,dur
2011,11.0475701574265,5.41221765913758,15.3909993155373,Other,dur
2012,11.8134839151266,6.30287474332649,14.6834360027378,Other,dur
2013,12.2214236824093,6.65126625598905,16.7190280629706,Other,dur
2014,7.37337440109515,4.05732375085558,11.2498288843258,Other,dur
2015,14.1009582477755,9.17368240930869,18.7727583846681,Other,dur
2016,14.5554414784395,8.65947980835044,18.6813826146475,Other,dur
2017,15.042778918549,9.86293634496921,19.8737166324435,Other,dur
2018,15.9811772758385,9.38158795345654,21.1180698151951,Other,dur
2019,15.8347022587269,8.80082135523614,21.2491444216291,Other,dur
2009,8.427446954141,4.17693360711841,12.9058863791923,Scotland,dur
2008,9.94284736481862,5.67197125256673,14.6738535249829,Scotland,dur
2010,9.75256673511294,4.86824093086927,14.9024640657084,Scotland,dur
2011,10.9199178644764,5.47638603696098,15.6930184804928,Scotland,dur
2012,11.8134839151266,6.30287474332649,14.6834360027378,Scotland,dur
2013,12.6481861738535,7.07939767282683,18.1291923340178,Scotland,dur
2014,7.37337440109515,4.05732375085558,11.2498288843258,Scotland,dur
2015,13.6629021218344,7.85284052019165,19.1755646817248,Scotland,dur
2016,12.1598220396988,7.65674195756331,18.3001368925394,Scotland,dur
2017,17.3203285420945,10.6291923340178,22.696611909651,Scotland,dur
2018,15.1334702258727,8.42727583846681,19.9437029431896,Scotland,dur
2019,16.7265571526352,9.46218343600273,22.6069472963724,Scotland,dur
