year_init,md,lower,upper
2007,26,21,30
2008,26.5,22,32
2005,23,21.25,29
2006,25,22,30
2009,27,24,34
2010,28,23,33
2011,29,24,34
2012,28,24,34.5
2013,28,25,34
2014,32,27,37.25
2015,32,27.5,37
2017,31,26,35
2016,31,26,35
2018,32,29,35
2019,31,27.5,36
