fyear,md,lower,upper,region
2001,24,18.25,27.5,Yorkshire & Humber
2002,23,21.5,28.5,Yorkshire & Humber
1999,25,22,25.5,Yorkshire & Humber
2003,24,20.5,27.5,Yorkshire & Humber
2005,24.5,20.75,30.25,Yorkshire & Humber
2004,24.5,20,30.75,Yorkshire & Humber
2006,23,21.25,27.5,Yorkshire & Humber
2007,28.5,21.75,33.25,Yorkshire & Humber
2008,23,19.25,28.75,Yorkshire & Humber
2009,22.5,19.75,30.25,Yorkshire & Humber
2010,25,21,31,Yorkshire & Humber
2011,29,24,32.5,Yorkshire & Humber
2012,27,24,33.75,Yorkshire & Humber
2013,28.5,23.75,36,Yorkshire & Humber
2014,26,24,31,Yorkshire & Humber
2015,31,25,34,Yorkshire & Humber
2016,36,29,38.5,Yorkshire & Humber
2017,35,31,39,Yorkshire & Humber
2018,32,29.5,39,Yorkshire & Humber
2019,35.5,29,43.5,Yorkshire & Humber
1990,21,18,25,England
1988,21,18.75,24,England
1987,21,18,24,England
1989,21,19,24,England
1991,22,19,26,England
1992,22,19,26,England
1993,22,19,26,England
1994,22,19,26,England
1995,22,19,27,England
1996,22,19,27,England
1997,22,18,26,England
1998,22,19,27,England
1999,24,19,28,England
2000,24,20,29,England
2001,25,20,29,England
2002,24,20,29,England
2003,24,20,30,England
2004,24.5,20,30,England
2005,25,20,30,England
2006,25,21,30,England
2007,24,20,29,England
2008,25,21,30,England
2009,25,20,32,England
2010,25,21,31,England
2011,27,22,33.75,England
2012,28,24,35,England
2013,29,25,35,England
2014,28,24,35,England
2015,30,25,36,England
2016,33,28,39,England
2017,33,29,39,England
2018,33,28,38.75,England
2019,33,28,37,England
