yr,fit,lower,higher,tau,region,parameter
2015,43.9002094870678,43.4687960380199,44.3316229361158,0.75,GCC,age
2016,44.5633003546762,44.1168001726819,45.0098005366704,0.75,GCC,age
2017,45.188824590878,44.6683617307298,45.7092874510262,0.75,GCC,age
2018,45.7767821956734,45.0938360444998,46.459728346847,0.75,GCC,age
2019,46.3271731690623,45.3932611444128,47.2610851937118,0.75,GCC,age
2020,46.8399975110447,45.5770939976092,48.1029010244803,0.75,GCC,age
2008,25.614549721326,24.6421272483983,26.5869721942536,0.25,Lothian_and_Tayside,age
2009,26.4613278576318,25.8427947065674,27.0798610086963,0.25,Lothian_and_Tayside,age
2010,27.2902447768978,26.8587293088272,27.7217602449684,0.25,Lothian_and_Tayside,age
2011,28.1013004791239,27.6751260373687,28.5274749208792,0.25,Lothian_and_Tayside,age
2012,28.8944949643102,28.4026812671437,29.3863086614767,0.25,Lothian_and_Tayside,age
2013,29.6698282324566,29.1332630654761,30.2063933994371,0.25,Lothian_and_Tayside,age
2014,30.4273002835631,29.8901731329023,30.964427434224,0.25,Lothian_and_Tayside,age
2015,31.1669111176298,30.6566214468741,31.6772007883856,0.25,Lothian_and_Tayside,age
2016,31.8886607346566,31.3708143713398,32.4065070979735,0.25,Lothian_and_Tayside,age
2017,32.5925491346436,31.9411703050759,33.2439279642114,0.25,Lothian_and_Tayside,age
2018,33.2785763175907,32.3356271581065,34.2215254770749,0.25,Lothian_and_Tayside,age
2019,33.946742283498,32.5788979259954,35.3145866410006,0.25,Lothian_and_Tayside,age
2020,34.5970470323654,32.6928477722546,36.5012462924761,0.25,Lothian_and_Tayside,age
2008,29.9247091033539,28.7901555207879,31.0592626859198,0.5,Lothian_and_Tayside,age
2009,30.7898699520876,30.0310022674557,31.5487376367195,0.5,Lothian_and_Tayside,age
2010,31.6413415468857,31.1150116267913,32.1676714669801,0.5,Lothian_and_Tayside,age
2011,32.4791238877482,32.0207014267966,32.9375463486998,0.5,Lothian_and_Tayside,age
2012,33.3032169746749,32.8131666757075,33.7932672736424,0.5,Lothian_and_Tayside,age
2013,34.113620807666,33.5870490497573,34.6401925655748,0.5,Lothian_and_Tayside,age
2014,34.9103353867215,34.3838642176632,35.4368065557798,0.5,Lothian_and_Tayside,age
2015,35.6933607118413,35.202604485778,36.1841169379045,0.5,Lothian_and_Tayside,age
2016,36.4626967830254,35.9993693761211,36.9260241899297,0.5,Lothian_and_Tayside,age
2017,37.2183436002738,36.6794337482358,37.7572534523118,0.5,Lothian_and_Tayside,age
2018,37.9603011635866,37.1823349853958,38.7382673417774,0.5,Lothian_and_Tayside,age
2019,38.6885694729637,37.5302927484955,39.846846197432,0.5,Lothian_and_Tayside,age
2020,39.4031485284052,37.7516553743627,41.0546416824477,0.5,Lothian_and_Tayside,age
2008,35.7618069815195,34.480133450446,37.043480512593,0.75,Lothian_and_Tayside,age
2009,36.7959323359734,35.983648547185,37.6082161247618,0.75,Lothian_and_Tayside,age
2010,37.739578240605,37.1580837196429,38.321072761567,0.75,Lothian_and_Tayside,age
2011,38.5927446954141,37.990018782316,39.1954706085122,0.75,Lothian_and_Tayside,age
2012,39.3554317004009,38.6457860199324,40.0650773808694,0.75,Lothian_and_Tayside,age
2013,40.0276392555654,39.2464729816265,40.8088055295042,0.75,Lothian_and_Tayside,age
2014,40.6093673609074,39.8238454663655,41.3948892554493,0.75,Lothian_and_Tayside,age
2015,41.1006160164271,40.3652732915607,41.8359587412935,0.75,Lothian_and_Tayside,age
2016,41.5013852221245,40.8080604860162,42.1947099582328,0.75,Lothian_and_Tayside,age
2017,41.8116749779994,41.0248163880891,42.5985335679098,0.75,Lothian_and_Tayside,age
2018,42.031485284052,40.9264843567956,43.1364862113085,0.75,Lothian_and_Tayside,age
2019,42.1608161402823,40.5378365440573,43.7837957365073,0.75,Lothian_and_Tayside,age
2020,42.1996675466901,39.8999413160032,44.4993937773771,0.75,Lothian_and_Tayside,age
2008,26.966005019393,26.2936371723956,27.6383728663903,0.25,Other,age
2009,27.8943189596166,27.4447644544891,28.3438734647441,0.25,Other,age
2010,28.7802874743325,28.4539050959727,29.1066698526924,0.25,Other,age
2011,29.6239105635408,29.3117025226706,29.9361186044111,0.25,Other,age
