year,md,lower,upper,region,parameter
1998,3,1,5.25,North East,dur
1999,2,1,5,North East,dur
2000,2,1,5,North East,dur
2001,3,2,6,North East,dur
2002,5,2,9,North East,dur
2003,5,2,7,North East,dur
2004,5,2,8,North East,dur
2005,5,3,8.5,North East,dur
2006,5,3,9,North East,dur
2007,7,3,11,North East,dur
2008,7,4,11,North East,dur
2009,7,3,10,North East,dur
2010,10,4,13,North East,dur
2011,9,5,14,North East,dur
2012,8,3,13,North East,dur
2013,12.5,7,16,North East,dur
2014,11,7,16.5,North East,dur
2015,14,9.25,18,North East,dur
2016,13,7,18,North East,dur
2017,14,6,19,North East,dur
2018,13.5,6,20,North East,dur
2019,15,5,23,North East,dur
1990,5,2,8,North West,dur
1991,5,2,9,North West,dur
1992,5,3,9,North West,dur
1993,5,2,9,North West,dur
1994,6,2,10,North West,dur
1995,7,3,11,North West,dur
1996,7,3,12,North West,dur
1997,7,3,12,North West,dur
1998,8,3,12,North West,dur
1999,9,4,13,North West,dur
2000,8,4,13,North West,dur
2001,9,4,15,North West,dur
2002,10,5,16,North West,dur
2003,10,5,16,North West,dur
2004,10,5,15.75,North West,dur
2005,10,5,16,North West,dur
2006,10.5,5,16,North West,dur
2007,11,6,16,North West,dur
2008,13,6,18,North West,dur
2009,14,8,19,North West,dur
2010,13,8,20,North West,dur
2011,14,8,20,North West,dur
2012,13,6,19,North West,dur
2013,14,6,20.75,North West,dur
2014,16,10,22,North West,dur
2015,16,8,23,North West,dur
2016,18,8.25,24,North West,dur
2017,19,9,24,North West,dur
2018,19,11,25,North West,dur
2019,18,8.75,24,North West,dur
2002,5,4,6,Northern Ireland,dur
2003,4,1.25,8,Northern Ireland,dur
2004,7,5,12,Northern Ireland,dur
2005,6,4,10,Northern Ireland,dur
2006,8,5,10.25,Northern Ireland,dur
2007,8,6,11,Northern Ireland,dur
2008,10,5,12,Northern Ireland,dur
2009,10,4,12,Northern Ireland,dur
2010,12,5,16,Northern Ireland,dur
2011,8,4,14,Northern Ireland,dur
2012,8,4,14,Northern Ireland,dur
2013,8,4,15,Northern Ireland,dur
2014,7,3,14,Northern Ireland,dur
2015,8,2.5,15,Northern Ireland,dur
2016,14,4,17,Northern Ireland,dur
2017,14,7.5,16.5,Northern Ireland,dur
2018,9,3,15.5,Northern Ireland,dur
2019,11,3,18.5,Northern Ireland,dur
1990,11,7,11,South East,dur
1991,10,6,12,South East,dur
1992,8,5,12,South East,dur
1993,7,2,12,South East,dur
1994,7,2,12,South East,dur
1995,6,2,11,South East,dur
1996,4,1,10,South East,dur
1997,4,1,10,South East,dur
1998,3,2,11,South East,dur
1999,4,2,12,South East,dur
2000,5,2,12,South East,dur
2001,5,2,10,South East,dur
2002,6,3,10,South East,dur
2003,5.5,4,13,South East,dur
2004,8,4,15,South East,dur
2005,9,4,16,South East,dur
2006,9,5,15,South East,dur
2007,9,3,14,South East,dur
2008,9.5,4,16,South East,dur
2009,10,5,16,South East,dur
2010,11,5,16,South East,dur
2011,12,6,17.25,South East,dur
2012,13,5,18.75,South East,dur
2013,12,6,19,South East,dur
2014,14,6,21,South East,dur
2015,14,5,20,South East,dur
2016,16,8,21,South East,dur
2017,16,7.75,22,South East,dur
2018,16,7.75,21,South East,dur
2019,13,5,21,South East,dur
1990,10,4,11,South West,dur
1991,8,3.5,12,South West,dur
1992,9,5,15,South West,dur
1993,7,3,13,South West,dur
1994,7,3,11,South West,dur
1995,7,3,12,South West,dur
1996,8,2,13,South West,dur
1997,5,2,11,South West,dur
1998,5,2,13,South West,dur
1999,5,2,11,South West,dur
2000,6,3,12,South West,dur
2001,6,3,11,South West,dur
2002,7,3,13,South West,dur
2003,8,4,14,South West,dur
2004,7,4,13,South West,dur
2005,8,3.5,13,South West,dur
2006,9,4,15,South West,dur
2007,9,4,13,South West,dur
2008,9,5,14,South West,dur
2009,10,5,15,South West,dur
2010,11,4,17,South West,dur
2011,11,4,16,South West,dur
2012,10,4,16.75,South West,dur
2013,13,6,18,South West,dur
2014,14,6,19,South West,dur
2015,14,7,21,South West,dur
2016,16,8,21,South West,dur
2017,17,7,21.25,South West,dur
2018,17,9,23,South West,dur
2019,18,10.75,25,South West,dur
1990,7,4,11,Wales,dur
1991,10,2.5,14.5,Wales,dur
1992,8,3.75,12.25,Wales,dur
1993,7,2,14,Wales,dur
1994,9,2,14,Wales,dur
1995,9,4,15,Wales,dur
1996,9,6.75,11.25,Wales,dur
1997,4,1,9.75,Wales,dur
1998,4,2,9,Wales,dur
1999,6,3,15,Wales,dur
2000,7,2,13,Wales,dur
2001,5,3,9,Wales,dur
2002,6,3,9,Wales,dur
2003,5.5,2,10.25,Wales,dur
2004,10,6,14,Wales,dur
2005,7,3,12,Wales,dur
2006,9,4,13,Wales,dur
2007,8,4,13,Wales,dur
2008,9.5,4.25,15,Wales,dur
2009,9,3,17,Wales,dur
2010,8,2,15,Wales,dur
2011,13,7,17,Wales,dur
2012,10,5,18,Wales,dur
2013,13,6,19,Wales,dur
2014,14,7,21,Wales,dur
2015,13,7,21,Wales,dur
2016,14,8,22,Wales,dur
2017,16,8.5,22,Wales,dur
2018,16,9,24,Wales,dur
2019,15,9,23,Wales,dur
1992,12,8,18.5,West Midlands,dur
1993,10,5,15.75,West Midlands,dur
1994,9,4,11,West Midlands,dur
1995,16,8,20,West Midlands,dur
1996,6,3,13,West Midlands,dur
1997,6,2,12.25,West Midlands,dur
1998,6,2.75,12.25,West Midlands,dur
1999,5,2,10,West Midlands,dur
2000,6,2,11,West Midlands,dur
2001,7,4,13,West Midlands,dur
2002,4,2,9,West Midlands,dur
2003,5,2,11,West Midlands,dur
2004,9,6.25,9.75,West Midlands,dur
2005,5.5,2,7,West Midlands,dur
2006,4,2,7,West Midlands,dur
2007,7,4,12.25,West Midlands,dur
2008,7,3,11,West Midlands,dur
2009,7,3,13,West Midlands,dur
2010,8.5,3,15,West Midlands,dur
2011,10,4,15,West Midlands,dur
2012,12,6,18,West Midlands,dur
2013,12,5,18,West Midlands,dur
2014,12,5,17,West Midlands,dur
2015,13,4.25,19,West Midlands,dur
2016,13.5,6,19,West Midlands,dur
2017,13,5,19,West Midlands,dur
2018,12,5,19,West Midlands,dur
2019,16,8,22,West Midlands,dur
1990,4,4,9,Yorkshire & Humber,dur
1991,8,5,12,Yorkshire & Humber,dur
1992,4.5,3.5,6.5,Yorkshire & Humber,dur
1993,4,2,9,Yorkshire & Humber,dur
1994,3.5,2,6.75,Yorkshire & Humber,dur
2001,7,3.5,12,Yorkshire & Humber,dur
2002,6,1.5,11,Yorkshire & Humber,dur
2003,6,4,12,Yorkshire & Humber,dur
2004,7,4,12.5,Yorkshire & Humber,dur
2005,7,3.5,12.5,Yorkshire & Humber,dur
2006,9,6,15,Yorkshire & Humber,dur
2007,10.5,6,14.25,Yorkshire & Humber,dur
2008,10,6,17,Yorkshire & Humber,dur
2009,10.5,5,15,Yorkshire & Humber,dur
2010,13,8,17,Yorkshire & Humber,dur
2011,14,9,19,Yorkshire & Humber,dur
2012,13,7,18,Yorkshire & Humber,dur
2013,15,8,19,Yorkshire & Humber,dur
2014,16,9.75,21,Yorkshire & Humber,dur
2015,16,12,20,Yorkshire & Humber,dur
2016,18,12,23,Yorkshire & Humber,dur
2017,19,11,23,Yorkshire & Humber,dur
2018,18,10.5,22.5,Yorkshire & Humber,dur
2019,19,11,24,Yorkshire & Humber,dur
1990,5,2,10,England,dur
1991,8,3,12,England,dur
1992,7,3,12,England,dur
1993,7,2,12,England,dur
1994,7,3,12,England,dur
1995,8,3,13,England,dur
1996,7,3,12,England,dur
1997,6,2,12,England,dur
1998,6,2,13,England,dur
1999,6,2,12,England,dur
2000,6,2,12,England,dur
2001,6,3,13,England,dur
2002,8,4,14,England,dur
2003,7,4,14,England,dur
2004,8,4,14,England,dur
2005,8,4,15,England,dur
2006,9,4,15,England,dur
2007,9,4,14,England,dur
2008,9,4,15,England,dur
2009,10,5,16,England,dur
2010,11,5,16,England,dur
2011,12,6,17,England,dur
2012,11,5,17,England,dur
2013,13,6,19,England,dur
2014,14,7,20,England,dur
2015,14,7,21,England,dur
2016,16,8,21,England,dur
2017,16,8,22,England,dur
2018,16,8,23,England,dur
2019,17,8,23,England,dur
