yr,md,lower,upper
2009,8.41444216290212,4.15366187542779,12.894250513347
2008,9.90075290896646,5.65246406570842,14.6321013004792
2010,9.74743326488706,4.86601642710473,14.8985284052019
2011,10.919575633128,5.47741273100616,15.7073921971253
2012,11.7145790554415,6.22929500342232,14.7027720739219
2013,12.6878850102669,7.12474332648871,18.1377481177276
2014,7.37337440109515,4.05732375085558,11.2498288843258
2015,13.6420260095825,7.82888432580424,19.1545174537988
2016,12.1598220396988,7.81656399726215,18.1081451060917
2017,17.3439425051335,10.6452772073922,22.7137234770705
2018,15.1427104722793,8.3874058863792,19.9779260780288
2019,16.6964407939767,9.4596167008898,22.5971937029432
2020,14.5034223134839,8.65434633812457,19.1201232032854
