yr,N,dur_int,n,pc
2011,1729,30,4,0.00231347599768652
2011,1729,31,5,0.00289184499710816
2011,1729,32,7,0.00404858299595142
2011,1729,33,2,0.00115673799884326
2011,1729,34,5,0.00289184499710816
2011,1729,35,0,0
2011,1729,36,2,0.00115673799884326
2011,1729,37,1,0.000578368999421631
2011,1729,38,0,0
2011,1729,39,0,0
2011,1729,40,0,0
2012,61,0,2,0.0327868852459016
2012,61,1,2,0.0327868852459016
2012,61,2,4,0.0655737704918033
2012,61,3,2,0.0327868852459016
2012,61,4,1,0.0163934426229508
2012,61,5,2,0.0327868852459016
2012,61,6,4,0.0655737704918033
2012,61,7,4,0.0655737704918033
2012,61,8,1,0.0163934426229508
2012,61,9,1,0.0163934426229508
2012,61,10,3,0.0491803278688525
2012,61,11,2,0.0327868852459016
2012,61,12,8,0.131147540983607
2012,61,13,4,0.0655737704918033
2012,61,14,4,0.0655737704918033
2012,61,15,3,0.0491803278688525
2012,61,16,5,0.0819672131147541
2012,61,17,2,0.0327868852459016
2012,61,18,2,0.0327868852459016
2012,61,19,0,0
2012,61,20,0,0
2012,61,21,2,0.0327868852459016
2012,61,22,1,0.0163934426229508
2012,61,23,0,0
2012,61,24,0,0
2012,61,25,0,0
2012,61,26,0,0
2012,61,27,1,0.0163934426229508
2012,61,28,1,0.0163934426229508
2012,61,29,0,0
2012,61,30,0,0
2012,61,31,0,0
2012,61,32,0,0
2012,61,33,0,0
2012,61,34,0,0
2012,61,35,0,0
2012,61,36,0,0
2012,61,37,0,0
2012,61,38,0,0
2012,61,39,0,0
2012,61,40,0,0
2013,1938,0,37,0.0190918472652219
2013,1938,1,66,0.0340557275541796
2013,1938,2,66,0.0340557275541796
2013,1938,3,68,0.0350877192982456
2013,1938,4,59,0.0304437564499484
2013,1938,5,88,0.0454076367389061
2013,1938,6,66,0.0340557275541796
2013,1938,7,68,0.0350877192982456
2013,1938,8,82,0.042311661506708
2013,1938,9,77,0.0397316821465428
2013,1938,10,93,0.0479876160990712
2013,1938,11,90,0.0464396284829721
