yr,year_init,pc
2008,1970,0
2008,1971,0.00139664804469274
2008,1972,0
2008,1973,0.00139664804469274
2008,1974,0.00139664804469274
2008,1975,0.00139664804469274
2008,1976,0.00279329608938548
2008,1977,0
2008,1978,0.00279329608938548
2008,1979,0.00558659217877095
2008,1980,0.0139664804469274
2008,1981,0.00977653631284916
2008,1982,0.0167597765363129
2008,1983,0.0153631284916201
2008,1984,0.0167597765363129
2008,1985,0.0153631284916201
2008,1986,0.00698324022346369
2008,1987,0.0153631284916201
2008,1988,0.0181564245810056
2008,1989,0.0237430167597765
2008,1990,0.0153631284916201
2008,1991,0.0237430167597765
2008,1992,0.0111731843575419
2008,1993,0.0307262569832402
2008,1994,0.032122905027933
2008,1995,0.0446927374301676
2008,1996,0.0642458100558659
2008,1997,0.0628491620111732
2008,1998,0.0572625698324022
2008,1999,0.0614525139664804
2008,2000,0.0502793296089386
2008,2001,0.0572625698324022
2008,2002,0.0628491620111732
2008,2003,0.0502793296089386
2008,2004,0.0418994413407821
2008,2005,0.0363128491620112
2008,2006,0.0418994413407821
2008,2007,0.0363128491620112
2008,2008,0.0502793296089386
2009,1970,0
2009,1971,0
2009,1972,0
2009,1973,0
2009,1974,0.00213219616204691
2009,1975,0.000710732054015636
2009,1976,0.00284292821606254
2009,1977,0.00213219616204691
2009,1978,0.00142146410803127
2009,1979,0.00284292821606254
2009,1980,0.00639658848614073
2009,1981,0.00497512437810945
2009,1982,0.00355366027007818
2009,1983,0.0120824449182658
2009,1984,0.007818052594172
2009,1985,0.00923951670220327
2009,1986,0.00497512437810945
2009,1987,0.00710732054015636
2009,1988,0.00852878464818763
2009,1989,0.015636105188344
2009,1990,0.0099502487562189
2009,1991,0.0206112295664534
2009,1992,0.0199004975124378
2009,1993,0.0213219616204691
2009,1994,0.0376687988628287
2009,1995,0.0326936744847193
2009,1996,0.0525941719971571
2009,1997,0.0554371002132196
2009,1998,0.0575692963752665
2009,1999,0.0568585643212509
2009,2000,0.0511727078891258
2009,2001,0.0632551528073916
2009,2002,0.0604122245913291
2009,2003,0.0511727078891258
2009,2004,0.0582800284292822
2009,2005,0.0582800284292822
2009,2006,0.0511727078891258
2009,2007,0.0604122245913291
2009,2008,0.0760483297796731
2009,2009,0.0106609808102345
2010,1970,0.00121901665989435
2010,1971,0.000406338886631451
2010,1972,0
2010,1973,0
2010,1974,0.000812677773262901
2010,1975,0.00121901665989435
2010,1976,0.00203169443315725
2010,1977,0.0016253555465258
2010,1978,0.00203169443315725
2010,1979,0.0024380333197887
2010,1980,0.00365704997968306
2010,1981,0.00568874441284031
2010,1982,0.00893945550589191
2010,1983,0.0117838277123121
2010,1984,0.00731409995936611
2010,1985,0.0174725721251524
2010,1986,0.0105648110524177
2010,1987,0.0113774888256806
2010,1988,0.0138155221454693
2010,1989,0.0146281999187322
2010,1990,0.0121901665989435
2010,1991,0.0182852498984153
2010,1992,0.0227549776513612
2010,1993,0.0260056887444128
2010,1994,0.0381958553433564
2010,1995,0.0361641609101991
2010,1996,0.0455099553027225
2010,1997,0.0422592442096709
2010,1998,0.0572937830150345
2010,1999,0.0511986997155628
2010,2000,0.0528240552620886
2010,2001,0.0520113774888257
2010,2002,0.0536367330353515
2010,2003,0.045103616416091
2010,2004,0.0544494108086144
2010,2005,0.0426655830963023
2010,2006,0.0398212108898822
2010,2007,0.0459162941893539
2010,2008,0.0581064607882974
2010,2009,0.0609508329947176
2010,2010,0.0272247054043072
2011,1970,0.000577367205542725
2011,1971,0
2011,1972,0
2011,1973,0
2011,1974,0
2011,1975,0.00173210161662818
2011,1976,0.000577367205542725
2011,1977,0.0023094688221709
2011,1978,0.00173210161662818
2011,1979,0.00346420323325635
2011,1980,0.00288683602771363
2011,1981,0.00288683602771363
2011,1982,0.00577367205542725
2011,1983,0.0103926096997691
2011,1984,0.0092378752886836
2011,1985,0.0109699769053118
2011,1986,0.0069284064665127
2011,1987,0.0092378752886836
2011,1988,0.0161662817551963
2011,1989,0.0138568129330254
2011,1990,0.0207852193995381
2011,1991,0.0219399538106236
2011,1992,0.023094688221709
2011,1993,0.0282909930715935
2011,1994,0.0282909930715935
2011,1995,0.0363741339491917
2011,1996,0.0433025404157044
2011,1997,0.046189376443418
2011,1998,0.0640877598152425
2011,1999,0.0600461893764434
2011,2000,0.0519630484988453
2011,2001,0.0542725173210162
2011,2002,0.0346420323325635
2011,2003,0.0513856812933025
2011,2004,0.0415704387990762
2011,2005,0.0456120092378753
2011,2006,0.0502309468822171
2011,2007,0.0450346420323326
2011,2008,0.0415704387990762
2011,2009,0.0513856812933025
2011,2010,0.0329099307159353
2011,2011,0.0282909930715935
2012,1970,0
2012,1971,0
2012,1972,0
2012,1973,0
2012,1974,0
2012,1975,0
2012,1976,0
2012,1977,0
2012,1978,0
2012,1979,0
2012,1980,0
2012,1981,0
2012,1982,0
2012,1983,0
2012,1984,0.0327868852459016
2012,1985,0
2012,1986,0
2012,1987,0
2012,1988,0
2012,1989,0.0163934426229508
2012,1990,0
2012,1991,0.0327868852459016
2012,1992,0
2012,1993,0.0163934426229508
2012,1994,0.0327868852459016
2012,1995,0.0983606557377049
2012,1996,0
2012,1997,0.114754098360656
2012,1998,0.0491803278688525
2012,1999,0.0819672131147541
2012,2000,0.0819672131147541
2012,2001,0.0327868852459016
2012,2002,0.0491803278688525
2012,2003,0
2012,2004,0.0327868852459016
2012,2005,0.0819672131147541
2012,2006,0.0655737704918033
2012,2007,0
2012,2008,0.0327868852459016
2012,2009,0.0327868852459016
2012,2010,0.0819672131147541
