year,injdurI,pc
1990,0,0.0621160409556314
1990,1,0.0921501706484642
1990,2,0.101023890784983
1990,3,0.0784982935153584
1990,4,0.089419795221843
1990,5,0.0812286689419795
1990,6,0.0641638225255973
1990,7,0.0484641638225256
1990,8,0.0491467576791809
1990,9,0.0368600682593857
1990,10,0.0559726962457338
1990,11,0.23481228668942
1990,12,0.00136518771331058
1990,13,0.00068259385665529
1990,14,0.00136518771331058
1990,15,0.00068259385665529
1990,16,0
1990,17,0
1990,18,0.00068259385665529
1990,19,0
1990,20,0
1990,21,0
1990,22,0.00068259385665529
1990,23,0
1990,24,0.00068259385665529
1990,25,0
1990,26,0
1990,27,0
1990,28,0
1990,29,0
1990,30,0
1990,31,0
1990,32,0
1990,33,0
1990,34,0
1990,35,0
1990,36,0
1990,37,0
1990,38,0
1990,39,0
1990,40,0
1991,0,0.0309798270893372
1991,1,0.0720461095100865
1991,2,0.0835734870317003
1991,3,0.0749279538904899
1991,4,0.05835734870317
1991,5,0.0612391930835735
1991,6,0.0612391930835735
1991,7,0.0547550432276657
1991,8,0.0547550432276657
1991,9,0.0497118155619597
1991,10,0.053314121037464
1991,11,0.0410662824207493
1991,12,0.0864553314121038
1991,13,0.0302593659942363
1991,14,0.0180115273775216
1991,15,0.026657060518732
1991,16,0.0194524495677233
1991,17,0.00864553314121038
1991,18,0.0129682997118156
1991,19,0.0129682997118156
1991,20,0.0144092219020173
1991,21,0.0115273775216138
1991,22,0.0129682997118156
1991,23,0.00792507204610951
1991,24,0.00648414985590778
1991,25,0.010806916426513
1991,26,0.00648414985590778
1991,27,0.00576368876080692
1991,28,0.00720461095100865
1991,29,0.00288184438040346
1991,30,0
1991,31,0.00144092219020173
1991,32,0
1991,33,0
1991,34,0
1991,35,0
1991,36,0
1991,37,0
1991,38,0.000720461095100865
1991,39,0
1991,40,0
1992,0,0.031843233312921
1992,1,0.0750153092467851
1992,2,0.0924678505817514
1992,3,0.067360685854256
1992,4,0.0664421310471525
1992,5,0.069197795468463
1992,6,0.0707287201469688
1992,7,0.0679730557256583
1992,8,0.0532761788120025
1992,9,0.0548071034905083
1992,10,0.0569503980404164
1992,11,0.0416411512553582
1992,12,0.0333741579914268
1992,13,0.0284751990202082
1992,14,0.0241886099203919
1992,15,0.0202082057562768
1992,16,0.0177587262706675
1992,17,0.0137783221065524
1992,18,0.0174525413349663
1992,19,0.0134721371708512
1992,20,0.0199020208205756
1992,21,0.0125535823637477
1992,22,0.0091855480710349
1992,23,0.00949173300673607
1992,24,0.00796080832823025
1992,25,0.00734843845682792
1992,26,0.00581751377832211
1992,27,0.00398040416411513
1992,28,0.0033680342927128
1992,29,0.00153092467850582
1992,30,0.00122473974280465
1992,31,0.000306184935701164
1992,32,0.000612369871402327
1992,33,0
1992,34,0
1992,35,0.000306184935701164
1992,36,0
1992,37,0
1992,38,0
1992,39,0
1992,40,0
1993,0,0.0683424980361351
1993,1,0.0930871956009427
1993,2,0.0895522388059701
1993,3,0.0636292223095051
1993,4,0.0663786331500393
1993,5,0.0577376276512176
1993,6,0.0557737627651218
1993,7,0.0542026708562451
1993,8,0.0604870384917518
1993,9,0.0471327572663001
1993,10,0.0459544383346426
1993,11,0.0384917517674784
1993,12,0.0435978004713276
1993,13,0.0318146111547526
1993,14,0.0267085624509034
1993,15,0.0204241948153967
1993,16,0.0196386488609584
1993,17,0.0129615082482325
1993,18,0.0106048703849175
1993,19,0.0133542812254517
1993,20,0.0149253731343284
1993,21,0.0102120974076984
1993,22,0.0129615082482325
1993,23,0.00903377847604085
1993,24,0.00746268656716418
1993,25,0.00471327572663001
1993,26,0.00471327572663001
1993,27,0.00589159465828751
1993,28,0.00157109190887667
1993,29,0.00314218381775334
1993,30,0.00274941084053417
1993,31,0.000785545954438335
1993,32,0.000392772977219167
1993,33,0
1993,34,0
1993,35,0
1993,36,0
1993,37,0
1993,38,0
1993,39,0.000392772977219167
1993,40,0.000392772977219167
1994,0,0.0699426111908178
1994,1,0.0857245337159254
1994,2,0.0824964131994261
1994,3,0.0634863701578192
1994,4,0.0649210903873745
1994,5,0.0555954088952654
1994,6,0.0588235294117647
1994,7,0.0498565279770445
1994,8,0.052725968436155
1994,9,0.0512912482065997
1994,10,0.046987087517934
1994,11,0.0487804878048781
1994,12,0.0441176470588235
1994,13,0.0308464849354376
1994,14,0.0272596843615495
1994,15,0.0251076040172166
1994,16,0.0182926829268293
1994,17,0.0179340028694405
1994,18,0.0157819225251076
1994,19,0.0104017216642755
1994,20,0.0104017216642755
1994,21,0.00860832137733142
1994,22,0.00932568149210904
1994,23,0.00896700143472023
1994,24,0.00860832137733142
1994,25,0.0078909612625538
1994,26,0.00645624103299857
1994,27,0.00645624103299857
1994,28,0.00502152080344333
1994,29,0.00179340028694405
1994,30,0.00215208034433286
1994,31,0.00179340028694405
1994,32,0.000358680057388809
1994,33,0.000358680057388809
1994,34,0.000358680057388809
1994,35,0.000358680057388809
1994,36,0
1994,37,0
1994,38,0
1994,39,0.000358680057388809
1994,40,0
1995,0,0.0646029609690444
1995,1,0.0780619111709287
1995,2,0.075818752803948
1995,3,0.0690892777030058
1995,4,0.0551816958277254
1995,5,0.0628084342754598
1995,6,0.0394795872588605
1995,7,0.0484522207267833
1995,8,0.0497981157469717
1995,9,0.0520412741139525
1995,10,0.0515926424405563
1995,11,0.0596680125616869
1995,12,0.0399282189322566
1995,13,0.0453117990130103
1995,14,0.0323014804845222
1995,15,0.0278151637505608
1995,16,0.0179452669358457
1995,17,0.0152534768954688
1995,18,0.0130103185284881
1995,19,0.0121130551816958
1995,20,0.0107671601615074
1995,21,0.0116644235082997
1995,22,0.0116644235082997
1995,23,0.00762673844773441
1995,24,0.00942126514131898
1995,25,0.00762673844773441
1995,26,0.00628084342754599
1995,27,0.00358905338716913
1995,28,0.00493494840735756
1995,29,0.00493494840735756
1995,30,0.0053835800807537
1995,31,0.00134589502018843
1995,32,0.000897263346792284
1995,33,0.00134589502018843
1995,34,0.000448631673396142
1995,35,0.000448631673396142
1995,36,0.000448631673396142
1995,37,0.000448631673396142
1995,38,0
1995,39,0
1995,40,0
1996,0,0.0662717512032581
1996,1,0.0770085153646797
1996,2,0.0810810810810811
