year,fyearI,pc
1990,1970,0
1990,1971,0
1990,1972,0.00068259385665529
1990,1973,0
1990,1974,0
1990,1975,0.00068259385665529
1990,1976,0.00136518771331058
1990,1977,0.00068259385665529
1990,1978,0.00136518771331058
1990,1979,0.23481228668942
1990,1980,0.0559726962457338
1990,1981,0.0368600682593857
1990,1982,0.0491467576791809
1990,1983,0.0484641638225256
1990,1984,0.0641638225255973
1990,1985,0.0812286689419795
1990,1986,0.089419795221843
1990,1987,0.0784982935153584
1990,1988,0.101023890784983
1990,1989,0.0921501706484642
1990,1990,0.0621160409556314
1991,1970,0.0115273775216138
1991,1971,0.0144092219020173
1991,1972,0.0129682997118156
1991,1973,0.0129682997118156
1991,1974,0.00864553314121038
1991,1975,0.0194524495677233
1991,1976,0.026657060518732
1991,1977,0.0180115273775216
1991,1978,0.0302593659942363
1991,1979,0.0864553314121038
1991,1980,0.0410662824207493
1991,1981,0.053314121037464
1991,1982,0.0497118155619597
1991,1983,0.0547550432276657
1991,1984,0.0547550432276657
1991,1985,0.0612391930835735
1991,1986,0.0612391930835735
1991,1987,0.05835734870317
1991,1988,0.0749279538904899
1991,1989,0.0835734870317003
1991,1990,0.0720461095100865
1991,1991,0.0309798270893372
1992,1970,0.0091855480710349
1992,1971,0.0125535823637477
1992,1972,0.0199020208205756
1992,1973,0.0134721371708512
1992,1974,0.0174525413349663
1992,1975,0.0137783221065524
1992,1976,0.0177587262706675
1992,1977,0.0202082057562768
1992,1978,0.0241886099203919
1992,1979,0.0284751990202082
1992,1980,0.0333741579914268
1992,1981,0.0416411512553582
1992,1982,0.0569503980404164
1992,1983,0.0548071034905083
1992,1984,0.0532761788120025
1992,1985,0.0679730557256583
1992,1986,0.0707287201469688
1992,1987,0.069197795468463
1992,1988,0.0664421310471525
1992,1989,0.067360685854256
1992,1990,0.0924678505817514
1992,1991,0.0750153092467851
1992,1992,0.031843233312921
1993,1970,0.00864100549882168
1993,1971,0.0137470542026709
1993,1972,0.0102120974076984
1993,1973,0.0161036920659859
1993,1974,0.0109976433621367
1993,1975,0.0113904163393559
1993,1976,0.0133542812254517
1993,1977,0.0192458758837392
1993,1978,0.0227808326787117
1993,1979,0.0267085624509034
1993,1980,0.0337784760408484
1993,1981,0.0416339355852317
1993,1982,0.0416339355852317
1993,1983,0.0471327572663001
1993,1984,0.0483110761979576
1993,1985,0.0569520816967793
1993,1986,0.0542026708562451
1993,1987,0.0577376276512176
1993,1988,0.0604870384917518
1993,1989,0.0636292223095051
1993,1990,0.0663786331500393
1993,1991,0.096229379418696
1993,1992,0.089159465828751
1993,1993,0.0557737627651218
1994,1970,0.0078909612625538
1994,1971,0.0100430416068867
1994,1972,0.00968436154949785
1994,1973,0.0078909612625538
1994,1974,0.0107604017216643
1994,1975,0.0104017216642755
1994,1976,0.0164992826398852
1994,1977,0.0179340028694405
1994,1978,0.0179340028694405
1994,1979,0.0258249641319943
1994,1980,0.0269010043041607
1994,1981,0.0337159253945481
1994,1982,0.0466284074605452
1994,1983,0.0477044476327116
1994,1984,0.0480631276901004
1994,1985,0.0505738880918221
1994,1986,0.0494978479196557
1994,1987,0.052725968436155
1994,1988,0.0613342898134864
1994,1989,0.0566714490674319
1994,1990,0.0609756097560976
1994,1991,0.0656384505021521
1994,1992,0.0860832137733142
1994,1993,0.0853658536585366
1994,1994,0.0588235294117647
1995,1970,0.00807537012113055
1995,1971,0.0103185284881113
1995,1972,0.00852400179452669
1995,1973,0.00942126514131898
1995,1974,0.0134589502018843
1995,1975,0.00942126514131898
1995,1976,0.0130103185284881
1995,1977,0.012561686855092
1995,1978,0.0148048452220727
1995,1979,0.0192911619560341
1995,1980,0.0291610587707492
1995,1981,0.0349932705248991
1995,1982,0.0417227456258412
1995,1983,0.041274113952445
1995,1984,0.0605652759084791
1995,1985,0.0529385374607447
1995,1986,0.0524899057873486
1995,1987,0.0493494840735756
1995,1988,0.0466576940331987
1995,1989,0.041274113952445
1995,1990,0.0637056976222521
1995,1991,0.0542844324809332
1995,1992,0.0713324360699865
1995,1993,0.078959174517721
1995,1994,0.0776132794975325
1995,1995,0.053835800807537
1996,1970,0.00740466493891151
1996,1971,0.00740466493891151
1996,1972,0.00851536467974824
1996,1973,0.00851536467974824
1996,1974,0.0118474639022584
1996,1975,0.00814513143280267
1996,1976,0.0107367641614217
1996,1977,0.012217697149204
1996,1978,0.0155497963717142
1996,1979,0.0203628285820067
1996,1980,0.0214735283228434
1996,1981,0.0251758607922991
1996,1982,0.0388744909292855
1996,1983,0.0333209922251018
1996,1984,0.0407256571640133
1996,1985,0.0403554239170678
1996,1986,0.048870788596816
1996,1987,0.0447982228804147
1996,1988,0.0403554239170678
1996,1989,0.0507219548315439
1996,1990,0.051462421325435
1996,1991,0.0681229174379859
1996,1992,0.0640503517215846
1996,1993,0.0821917808219178
1996,1994,0.0821917808219178
1996,1995,0.075897815623843
1996,1996,0.0596075527582377
1997,1970,0.00755073147711185
1997,1971,0.00566304860783388
1997,1972,0.00519112789051439
1997,1973,0.00755073147711185
1997,1974,0.00755073147711185
1997,1975,0.00849457291175083
1997,1976,0.00896649362907032
1997,1977,0.0117980179329873
1997,1978,0.00660689004247286
1997,1979,0.0160453043888627
1997,1980,0.0179329872581406
1997,1981,0.0278433223218499
1997,1982,0.0273714016045304
1997,1983,0.0306748466257669
1997,1984,0.0335063709296838
1997,1985,0.0353940537989618
1997,1986,0.0382255781028787
1997,1987,0.0396413402548372
1997,1988,0.0424728645587541
1997,1989,0.0438886267107126
1997,1990,0.0504955167531855
